geoid,tract_2020,tract_name,total_pop_2010,black_pop_2010,pct_black_2010_percent,total_pop_2020,black_pop_2020,pct_black_2020_percent,black_pop_change,pct_black_change_pp,total_pop_2010_redistrict,black_pop_2010_redistrict,pct_black_2010_percent_redistrict,total_pop_2020_redistrict,black_pop_2020_redistrict,pct_black_2020_percent_redistrict,black_pop_change_redistrict,pct_black_change_pp_redistrict,tract_2010,n_geoid_2010_parents,tract_2010_norm,tract_2020_norm,civilian_labor_force_2010,employed_2010,in_labor_force_2010,population_16_years_and_over_2010,unemployed_2010,civilian_labor_force_2020,employed_2020,in_labor_force_2020,population_16_years_and_over_2020,unemployed_2020,no_2010_baseline,emp_change,lf_change,black_pop_change_used,pct_black_change_pp_used,z_black_disp,z_pct_black_disp,z_emp,z_lf,gri_raw,gri_z,gri_pct,gri_tier,dc_ward,quadrant,missing_gri_data
11001004901,49.01,Census Tract 49.01; District of Columbia; District of Columbia,2087.0,1075.0,51.51,3380,1009,29.85,-66.0,-21.66,2087.0,1075.0,51.51,3380,1009,29.85,-66.0,-21.66,49.01,1,49.01,49.01,927.667,680.5,846.0,1551.0,151.0,2150.667,1900.0,1937.0,3212.0,44.0,False,1219.5,1091.0,-66.0,-21.66,-0.155,1.18,2.677,2.336,6.038,2.008,0.968,Very High,2,NW,False
11001004902,49.02,Census Tract 49.02; District of Columbia; District of Columbia,2690.0,812.0,30.19,3449,782,22.67,-30.0,-7.52,2690.0,812.0,30.19,3449,782,22.67,-30.0,-7.52,49.02,1,49.02,49.02,1706.0,1459.0,1529.5,2328.0,76.0,2232.0,1895.0,2057.5,3204.0,148.0,False,436.0,528.0,-30.0,-7.52,-0.245,-0.253,0.324,0.622,0.447,0.149,0.623,Moderate,2,NW,False
11001005001,50.01,Census Tract 50.01; District of Columbia; District of Columbia,1955.0,484.0,24.76,2012,203,10.09,-281.0,-14.67,1955.0,484.0,24.76,2012,203,10.09,-281.0,-14.67,50.01,1,50.01,50.01,984.0,832.0,843.0,1491.0,22.0,1322.667,1150.5,1162.0,1932.0,23.0,False,318.5,319.0,-281.0,-14.67,0.382,0.472,-0.029,-0.014,0.81,0.269,0.688,Moderate,2,NW,False
11001005003,50.03,Census Tract 50.03; District of Columbia; District of Columbia,,,,2143,376,17.55,,,,,,2143,376,17.55,,,50.03,0,50.03,50.03,,,,,,1238.333,1096.5,1102.5,1617.0,6.0,True,,,,,,,,,,,,,2,NW,True
11001005004,50.04,Census Tract 50.04; District of Columbia; District of Columbia,,,,3861,789,20.44,,,,,,3861,789,20.44,,,50.04,0,50.04,50.04,,,,,,2026.0,1669.0,1817.0,3670.0,166.0,True,,,,,,,,,,,,,2,NW,True
11001005202,52.02,Census Tract 52.02; District of Columbia; District of Columbia,,,,3408,349,10.24,,,,,,3408,349,10.24,,,52.02,0,52.02,52.02,,,,,,2024.0,1770.5,1798.5,2741.0,28.0,True,,,,,,,,,,,,,2,NW,True
11001005203,52.03,Census Tract 52.03; District of Columbia; District of Columbia,,,,2979,275,9.23,,,,,,2979,275,9.23,,,52.03,0,52.03,52.03,,,,,,2226.0,2068.0,2078.0,2878.0,9.0,True,,,,,,,,,,,,,2,NW,True
11001005302,53.02,Census Tract 53.02; District of Columbia; District of Columbia,,,,2518,122,4.85,,,,,,2518,122,4.85,,,53.02,0,53.02,53.02,,,,,,1488.667,1296.5,1356.5,2383.0,50.0,True,,,,,,,,,,,,,2,NW,True
11001005303,53.03,Census Tract 53.03; District of Columbia; District of Columbia,,,,3215,310,9.64,,,,,,3215,310,9.64,,,53.03,0,53.03,53.03,,,,,,1756.0,1549.5,1606.5,2654.0,57.0,True,,,,,,,,,,,,,2,NW,True
11001005501,55.01,Census Tract 55.01; District of Columbia; District of Columbia,,,,2303,122,5.3,,,,,,2303,122,5.3,,,55.01,0,55.01,55.01,,,,,,981.333,825.0,837.0,1700.0,24.0,True,,,,,,,,,,,,,2,NW,True
11001005502,55.02,Census Tract 55.02; District of Columbia; District of Columbia,,,,2968,298,10.04,,,,,,2968,298,10.04,,,55.02,0,55.02,55.02,,,,,,1512.333,1299.0,1356.0,2486.0,106.0,True,,,,,,,,,,,,,2,NW,True
11001005503,55.03,Census Tract 55.03; District of Columbia; District of Columbia,,,,2492,58,2.33,,,,,,2492,58,2.33,,,55.03,0,55.03,55.03,,,,,,1318.0,1191.0,1225.0,2127.0,2.0,True,,,,,,,,,,,,,2,NW,True
11001005601,56.01,Census Tract 56.01; District of Columbia; District of Columbia,,,,2900,123,4.24,,,,,,2900,123,4.24,,,56.01,0,56.01,56.01,,,,,,1319.667,1137.5,1240.5,2357.0,81.0,True,,,,,,,,,,,,,2,NW,True
11001005602,56.02,Census Tract 56.02; District of Columbia; District of Columbia,,,,4100,303,7.39,,,,,,4100,303,7.39,,,56.02,0,56.02,56.02,,,,,,1889.667,1633.0,1716.5,4141.0,90.0,True,,,,,,,,,,,,,2,NW,True
11001005801,58.01,Census Tract 58.01; District of Columbia; District of Columbia,,,,1672,82,4.9,,,,,,1672,82,4.9,,,58.01,0,58.01,58.01,,,,,,1110.0,877.0,1009.0,1866.0,161.0,True,,,,,,,,,,,,,2,NW,True
11001005802,58.02,Census Tract 58.02; District of Columbia; District of Columbia,,,,2145,294,13.71,,,,,,2145,294,13.71,,,58.02,0,58.02,58.02,,,,,,1304.0,1108.0,1172.5,1790.0,66.0,True,,,,,,,,,,,,,2,NW,True
11001005900,59.0,Census Tract 59; District of Columbia; District of Columbia,2998.0,826.0,27.55,2617,438,16.74,-388.0,-10.81,2998.0,826.0,27.55,2617,438,16.74,-388.0,-10.81,59.0,1,59.0,59.0,1939.333,1481.0,1719.0,3905.0,341.0,1456.0,1208.5,1300.5,2405.0,134.0,False,-272.5,-418.5,-388.0,-10.81,0.649,0.08,-1.805,-2.259,-3.335,-1.109,0.143,Very Low,6,NW,False
